train_nbr,ariv_delay,dept_delay,mileage,fare_plan_cds,states_cd,orig_stns,dest_stns
17000,6,0,188,114,43,320,369
6620,60,0,256,181,49,379,54
39000,-11,0,310,12,17,60,62
212600,1,1,195,81,23,54,326
36400,-1,21,96,12,25,50,144
215100,10,2,220,4,22,386,326
9510,25,10,216,26,9,310,350
69000,-5,1,67,238,24,112,42
17200,1,0,201,35,10,478,279
217200,16,0,225,63,37,478,326
82100,44,0,206,89,39,322,154
2000,139,0,518,35,21,312,21
5630,59,4,339,89,23,24,311
77400,19,15,215,216,7,178,433
16420,157,104,335,12,49,391,326
19000,4,0,232,181,47,320,43
17410,-4,0,231,77,37,320,28
15200,0,0,0,181,37,320,390
216800,3,3,201,178,34,478,279
18200,3,0,185,173,37,24,326
7500,-8,0,147,89,30,109,73
215100,33,39,185,192,37,320,24
33300,-2,0,86,220,27,62,286
30600,-9,14,87,12,17,41,216
52900,13,1,106,217,7,377,128
5210,23,-2,855,171,12,410,254
9310,19,8,226,105,23,320,480
35200,15,21,68,12,25,219,101
9200,21,16,136,89,12,456,107
5310,437,217,855,128,12,252,414
9800,-2,0,183,121,12,501,227
12410,7,14,91,89,37,344,326
44900,4,7,54,112,40,500,436
16410,42,42,226,35,10,478,326
17700,1,8,226,89,9,320,480
8610,11,4,296,111,41,344,369
24400,-14,0,141,89,37,6,326
66920,-2,1,67,89,41,344,250
8700,13,1,0,105,37,28,314
13700,12,0,219,114,22,386,326
82200,8,0,186,89,39,154,317
14010,0,0,135,116,23,478,350
54600,10,1,115,217,7,403,97
9200,106,103,306,35,3,372,480
300,-45,6,565,89,6,143,239
12510,1,1,81,12,7,319,350
9800,-5,0,226,121,12,152,227
71100,2,0,283,223,26,33,298
210300,11,4,215,143,34,319,480
6410,-13,0,142,12,37,6,326
68000,0,0,82,238,33,353,194
35000,9,2,257,89,17,199,101
215500,-2,0,225,192,37,320,480
2000,51,5,279,35,34,91,460
16300,1,3,196,142,23,320,54
215300,-2,0,232,174,22,43,326
18300,-3,0,225,142,37,320,480
17620,30,0,284,35,49,72,324
17500,7,1,61,35,22,298,312
39300,-17,0,129,89,17,62,63
34100,1,1,68,220,52,167,286
78400,12,0,35,218,7,287,53
8610,15,5,30,105,37,478,54
34000,-2,0,86,220,46,283,62
50010,24,4,177,242,7,469,412
77000,2,1,103,216,7,400,239
15610,0,0,226,98,37,478,326
19410,-4,0,320,89,10,478,312
215200,73,3,185,192,23,24,326
215500,3,3,220,1,22,386,326
225200,5,0,322,162,22,344,28
800,99,0,2206,35,12,408,62
8610,-1,2,248,181,37,320,43
16410,2,1,91,242,41,344,326
2800,75,22,786,112,29,342,406
28020,5,0,436,35,37,34,326
9000,61,85,108,89,49,391,480
7930,-17,0,441,121,41,344,376
17200,16,21,212,105,37,318,43
71500,16,6,49,223,7,414,298
38000,-6,0,258,121,27,367,62
17200,13,0,225,76,13,478,326
28320,5,0,285,12,34,320,449
17500,5,0,231,230,22,43,326
52900,0,0,17,217,7,385,397
59100,9,0,103,216,7,395,155
5310,87,-9,855,234,37,252,414
17110,11,5,226,26,37,320,480
16300,-2,9,226,105,49,320,480
67020,-2,1,27,89,37,137,350
36500,-20,0,238,89,25,115,62
12510,0,0,226,142,7,320,480
215400,5,2,104,185,23,54,350
215100,0,0,225,170,23,320,480
14310,2,0,91,2,12,320,350
19510,27,16,161,74,37,226,326
9320,8,14,79,89,49,478,20
6310,-3,0,142,121,37,320,6
14310,-5,0,41,243,10,24,480
74300,-4,1,133,217,7,393,416
2000,27,16,601,89,37,73,326
9200,38,96,424,89,30,94,490
600,185,279,1038,35,8,100,62
71400,-14,5,81,223,7,201,33
18200,-1,0,225,113,10,478,326
225900,-10,7,188,60,17,364,326
17120,31,9,68,173,49,478,72
57200,60,49,97,216,7,15,399
5800,-41,0,926,35,21,312,62
6710,7,0,43,173,22,43,369
74200,-10,0,133,217,7,412,397
6610,-5,0,95,73,37,344,326
77700,8,0,68,216,7,400,256
33400,2,0,86,220,23,283,62
50010,31,8,187,35,51,342,412
24400,-12,0,141,12,51,6,326
6620,54,0,158,173,49,379,72
14810,1,0,30,173,49,478,54
16410,26,32,153,12,34,24,302
8610,63,43,248,181,7,320,43
17300,0,0,231,113,47,43,326
33300,10,0,62,220,17,62,448
33800,12,12,18,220,17,167,62
30200,5,0,284,89,27,440,62
225300,1,2,255,178,34,28,279
6610,-22,0,231,89,22,320,28
8900,14,7,91,35,37,344,326
35100,51,0,166,89,25,350,220
6910,11,8,142,89,37,320,6
100,760,236,1633,112,47,205,239
177000,0,0,0,216,7,334,399
7910,1,14,168,89,41,458,480
5000,105,93,58,121,49,71,442
65420,3,0,37,89,41,183,250
14020,1,0,177,89,41,344,486
31400,-7,0,283,89,19,222,443
65510,-6,0,58,105,41,320,460
800,6,0,735,89,51,408,406
19420,5,7,164,242,49,479,480
13500,-3,0,457,35,10,43,480
9800,16,21,147,12,12,331,214
600,73,107,233,89,15,293,62
47800,22,24,37,35,9,308,191
215900,2,1,220,80,22,386,326
35400,19,0,243,89,25,62,16
215800,2,2,127,143,9,344,444
215900,19,0,456,107,22,28,480
216800,-2,0,166,81,37,344,312
71200,0,2,191,223,7,374,149
65120,6,0,148,125,41,319,250
7910,-10,1,135,142,41,344,480
215300,-5,1,220,227,37,386,326
17700,3,0,212,79,22,43,322
9000,21,41,250,89,30,491,480
50400,5,0,187,242,40,342,412
15730,-1,2,311,242,49,276,395
221800,-5,0,91,178,37,344,326
216800,-1,0,225,132,7,478,326
31400,15,0,270,12,27,222,231
17120,6,7,361,113,41,344,383
37100,-2,0,176,89,17,175,62
76100,76,59,221,216,7,239,423
5900,-12,0,797,35,17,63,316
4900,5,0,432,89,37,320,52
216400,0,2,231,178,17,320,28
17900,5,3,231,142,37,43,326
217200,0,8,220,178,22,320,390
600,97,92,191,89,48,417,173
6320,24,9,132,89,37,467,385
9100,190,169,334,122,37,331,152
17110,-6,2,188,66,43,364,326
216700,2,1,76,102,10,308,326
2100,23,6,232,89,12,95,23
5210,103,0,855,0,12,410,254
4230,39,7,275,121,41,218,350
225100,0,6,211,192,22,364,279
33900,-8,0,86,220,52,62,286
52100,-1,0,112,209,7,97,156
8500,5,0,0,35,22,43,460
65510,-1,0,91,173,37,320,350
16600,4,12,90,66,9,441,314
212200,-6,0,225,97,10,478,326
59100,2,0,15,216,7,212,15
18400,16,17,78,111,47,344,135
33500,3,0,86,220,17,62,286
17200,1,5,185,66,12,24,326
215500,9,7,37,80,9,441,326
14120,19,3,111,181,9,191,326
8900,10,17,101,112,37,64,403
5530,0,1,165,89,50,307,326
7930,-14,0,306,242,10,478,376
12510,-4,0,226,116,37,320,480
28120,-14,0,291,89,52,320,449
17200,0,1,205,79,23,24,322
8610,0,2,106,181,23,54,350
17800,-4,0,134,111,12,478,350
65220,2,0,67,89,41,249,350
57200,0,0,46,218,7,239,212
216500,5,1,457,60,33,43,480
4800,-3,0,528,89,26,62,52
25000,0,0,141,89,7,6,326
24400,9,0,141,230,37,6,326
17410,13,29,171,142,43,319,226
217200,1,18,220,174,37,320,390
8610,11,18,117,12,23,488,326
68200,12,11,68,235,37,112,42
24300,0,0,88,89,37,320,377
216700,3,0,231,178,32,28,326
215900,19,33,188,78,22,364,326
8410,2,0,227,12,37,478,326
28020,-1,1,362,89,37,34,361
2700,58,56,65,89,40,40,471
2100,8,0,284,89,17,62,443
4900,-30,0,234,35,25,454,62
50400,38,5,187,0,7,342,412
17900,12,0,0,35,9,43,338
17110,1,0,231,66,7,43,326
200,44,0,502,112,7,239,466
23700,7,0,141,89,37,320,6
17900,5,3,196,66,15,43,444
53800,0,0,0,217,7,128,389
4800,119,154,237,89,37,467,326
24400,4,4,113,89,34,207,326
18400,-1,0,225,89,49,478,326
76700,,,129,216,7,395,239
12900,8,0,225,242,37,320,480
16000,-11,0,231,89,7,320,28
37000,1,0,151,89,17,62,203
14810,-2,0,243,142,10,478,322
12520,3,21,159,66,49,344,482
28420,-9,0,290,35,37,447,326
77700,,,123,216,7,212,472
17420,-6,0,234,181,49,12,326
9100,223,167,703,35,30,372,236
5610,4,0,135,98,23,478,350
2100,-14,0,284,35,27,62,443
31810,24,22,124,12,17,41,62
77400,1,1,254,216,7,419,15
800,-18,6,178,89,37,351,62
79400,5,5,173,216,7,254,239
24400,-13,3,88,35,37,373,326
14020,13,0,111,74,9,320,191
216800,-1,0,225,28,23,478,326
33200,-2,1,86,220,15,283,62
16200,8,1,242,242,37,319,43
13200,-6,13,0,35,9,299,312
13820,3,15,96,89,49,140,24
30200,43,28,156,89,17,241,62
64610,-2,1,91,66,41,344,326
68700,21,1,116,238,24,42,359
212100,2,0,225,81,49,320,480
28120,3,0,237,35,37,320,469
210300,2,0,225,139,12,320,480
2900,84,0,764,35,7,478,62
78400,-1,0,64,216,7,178,290
9310,12,9,81,89,41,319,350
17620,2,0,105,89,49,261,72
70200,34,4,111,223,7,149,33
15120,-6,0,152,105,49,24,91
9410,36,22,126,89,37,320,314
8710,0,0,78,98,7,135,350
16700,-2,2,43,105,43,28,369
13700,-1,1,230,114,37,28,326
17000,3,0,188,89,9,320,369
5210,25,-14,855,5,24,410,254
15610,-4,0,90,35,41,344,326
65420,-9,0,158,89,41,249,326
2100,26,25,201,112,47,154,23
7500,56,51,147,89,30,109,73
17500,31,26,196,89,23,320,54
68900,-5,1,51,235,33,42,136
8610,-4,0,227,26,10,478,326
9510,-3,0,232,105,37,43,326
71800,43,5,191,223,7,374,149
31810,-17,4,124,112,17,41,62
168900,-1,1,84,235,24,42,484
17410,29,20,75,74,22,320,312
78500,3,1,88,223,47,334,239
17700,25,2,168,242,37,364,322
35500,46,36,143,89,25,102,220
2200,-11,1,1215,35,18,23,62
210300,63,2,225,195,41,320,480
30500,-27,0,284,242,27,62,443
17420,7,3,47,173,49,479,394
8710,-7,0,226,142,49,320,480
17410,3,7,191,121,9,488,312
8900,-12,0,628,121,44,320,145
6420,-5,23,227,89,7,381,6
58000,34,0,46,216,7,239,212
7930,12,0,81,89,30,372,174
9100,247,259,257,112,12,456,281
13700,14,0,157,173,9,43,312
50510,38,6,176,242,51,463,348
14310,-1,18,226,89,40,320,480
29010,-5,0,142,89,37,6,326
19000,-1,0,62,181,38,432,312
225300,-2,0,232,60,37,43,326
35500,50,4,291,89,25,383,62
216300,2,0,279,162,17,364,350
42200,,22,2729,89,41,239,62
39300,-1,0,129,121,17,62,63
33800,3,0,68,220,17,283,167
500,10,0,570,35,14,100,421
16410,8,11,231,242,33,320,43
79400,-5,9,114,216,7,178,239
57200,49,0,129,216,7,239,399
12900,11,0,225,242,10,320,480
76500,4,7,47,216,7,239,290
66620,-6,,118,125,41,137,326
35500,-1,2,296,89,25,461,62
13800,-1,0,40,243,26,478,24
71300,-2,0,132,221,7,33,275
17410,1,0,75,114,9,320,312
15500,2,0,91,12,37,320,350
8510,58,0,168,89,34,458,480
50810,-6,0,187,89,7,342,412
71800,0,6,153,249,7,414,201
216900,-2,0,225,174,37,320,480
5310,35,-8,855,82,12,252,414
9420,6,0,449,89,37,305,326
225200,4,2,185,81,49,24,326
17000,81,0,413,77,10,478,369
58100,2,0,95,216,7,325,15
79400,32,35,0,216,7,239,212
71600,-7,2,169,223,7,268,33
25500,-5,0,141,35,37,320,6
7930,36,4,373,89,23,24,109
4800,-14,6,211,112,37,381,411
65410,-2,1,91,173,37,344,326
65120,0,0,110,121,41,320,344
216300,0,1,91,174,25,320,350
13810,-4,1,183,66,23,24,326
17800,-2,0,214,173,23,54,322
66520,0,0,67,89,41,344,250
216000,-3,0,225,4,7,478,326
215400,0,4,91,192,41,344,326
16300,0,6,87,105,9,308,135
14620,7,0,137,89,22,320,436
8610,3,0,247,35,41,320,28
212800,-2,0,225,102,10,478,326
17500,1,9,87,91,51,308,135
9200,59,69,109,89,49,391,480
31910,29,5,124,89,17,62,41
69900,-2,0,100,238,24,42,400
65520,-1,0,185,121,41,320,282
7300,23,0,173,89,49,372,73
35500,-12,11,243,89,17,16,62
220300,-2,0,225,174,37,320,480
19600,-8,0,225,116,10,478,326
65420,-1,4,67,89,41,249,350
30500,4,12,61,89,17,41,437
5210,59,-20,855,61,24,410,254
23600,-6,0,141,242,37,6,326
9610,13,12,248,77,22,320,28
77700,-2,0,26,216,7,155,239
58100,7,0,59,218,7,424,239
7930,29,0,173,89,41,372,73
17800,-7,0,231,89,29,320,28
7800,4,0,62,89,30,221,174
77000,-1,3,57,216,7,212,433
9700,3,34,206,229,12,502,503
6520,44,50,156,173,49,12,481
78500,25,28,31,221,7,15,239
7500,26,19,71,89,30,109,206
50310,12,1,102,242,51,326,471
4800,-5,55,370,12,7,381,326
300,311,232,852,89,7,1,427
177000,12,0,0,218,7,334,399
77000,7,1,139,216,41,178,155
19600,4,13,172,173,34,54,279
16100,22,17,149,116,9,49,350
12410,10,0,186,35,23,24,326
58800,-5,0,137,216,7,239,399
60910,4,0,91,66,37,320,350
215500,2,3,68,81,34,276,350
13800,-2,0,172,77,23,24,135
17200,23,24,104,79,23,54,350
76800,-1,0,126,216,7,239,331
216400,-5,0,225,4,47,478,326
17800,7,0,135,116,27,320,301
71200,17,2,111,223,7,324,288
39000,2,30,130,35,17,63,62
9310,6,3,217,35,23,320,305
78500,77,76,36,218,7,422,239
